RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
17310,Carmichael,California,508,300300,277800,277e3,264100,264900,259100,257800,268300,265500,270600,254500,241700,222400,224800,234900,242900,228100,231200,243600,250500,247e3,240800,253600,253600,247100,238e3,239e3,231600,228300,222700,236800,228e3,229200,213900,218200,213900,201500,191200,190200,196600,193600,184400,202600,209100,213400,191700,187600,179400,184900,192900,203600,216900,212100,213200,205800,219900,235700,244800,248700,257100,271300,280200,277700,275500,279900,285700,279400,278500,275700,292300,302900,305800,297400,286400,296500,290700,292600,29e4,299800,302500,294600,327900,334e3,345200,317400,324900,318900,315500,296100,296600,311e3,317600,323700,309100,315500,312900,318400,317500,319e3,324300,333300,336800,338800,339600,353300,351100,344500,334900,333e3,339800,349100,363500,363900,352100,358300,361500,369500,373500,386800,400400,385900,389800,381600,399700,389500
24349,Delano,California,509,170300,150400,157400,171400,166300,153200,136800,140100,138700,146100,143500,134e3,121700,115900,118600,126400,124900,129200,122700,125800,121400,124700,120500,119900,111300,113900,119500,129600,123800,126600,114700,117600,110100,118100,126700,123500,117600,111e3,108700,117800,114100,119500,117300,118e3,120400,116500,127400,126700,129100,121e3,119400,120800,121900,127500,125700,125900,120900,124800,136e3,138e3,132900,125500,133300,149700,147600,140300,127100,125600,125400,126600,126900,132800,133600,134100,130700,136200,140700,149100,153200,162200,162200,162600,155400,156300,157900,163700,165300,166100,167600,171100,172e3,172200,172900,180600,197800,196800,178300,167e3,167700,177600,174800,170600,178600,178e3,183800,181500,188200,178700,188800,187500,202100,204900,206700,191400,189900,195900,200800,193600,181300,194e3,177300,188800,195900,207e3,200600
37971,Colton,California,510,,,,,,,,,,,,,,,,102800,99100,101400,108500,112500,122900,120400,118500,117900,112400,120200,116700,131100,129700,133500,128500,131300,124700,122e3,119400,125500,125100,123100,114300,116600,119300,122900,124100,111300,115700,107e3,120900,122800,127100,128300,121900,123100,120100,126400,130400,131700,128500,119800,122400,127400,142500,150600,156400,153700,154900,155300,161700,153800,158300,159400,171700,177700,185800,184900,173100,175100,185400,201100,197600,192400,190500,198e3,203300,221400,213100,215400,201100,209900,207400,209300,210900,216500,224400,222e3,227100,221300,228600,230100,236500,233700,231900,232400,242500,251700,250400,251900,248800,256100,250200,247500,244200,256300,260400,273600,270600,284800,282900,277600,266700,273400,287700,290400,282200,269700,268200
38742,Goose Creek,South Carolina,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156300,152300,151600,151700,153900,153600,152500,148e3,151400,150300,153e3,155600,156600,162100,161900,164500,164500,163800,169100,176600,182400,185e3,18e4,174e3,172900,173600,174500,167800,169100,168100,174900,176100,184500,190400,187500,178600,174200,177200
53585,Noblesville,Indiana,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185200,18e4,176400,176200,177500,182100,183200,182900,178300,176700,176600,179100,187500,196900,199e3,196500,189100,192300,188200,191300,191900,190500,191300,190300,204e3,213300,223400,218900,218900,215500
4329,Deerfield Beach,Florida,513,110400,99400,101300,92800,102100,103500,103600,105e3,96e3,86900,72900,70200,69600,68100,66400,63300,60500,65100,67300,74800,74200,72200,60700,58e3,62200,71500,74300,71900,64300,60100,61100,63e3,63100,60300,58300,56400,57500,63600,65600,61900,58600,61100,63100,62600,62300,63e3,62600,62100,68e3,73600,76700,70700,69100,68300,70700,69900,73e3,73400,79900,82800,86100,86700,87100,89500,93900,100100,99800,101300,101600,105300,106800,96800,99400,96200,103200,110700,110600,111500,107e3,108e3,111300,111900,112900,116800,115900,116500,121600,123600,125300,120500,122900,125e3,123700,126300,122400,125e3,129600,142700,144600,140400,134300,132700,131600,129900,131e3,130100,131100,130100,141400,145600,150400,142900,140200,143300,147700,15e4,153600,155800,154200,150300,153900,164800,168500,163200,157400
50704,Altamonte Springs,Florida,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68200,72100,74900,69400,63800,67100,63300,66700,63600,66400,71200,72e3,78e3,81200,84200,81600,77500,80500,82500,81300,84500,89100,93400,9e4,89200,88e3,91e3,83200,96200,87800,97700,90500,95900,92600,95400,97400,106400,102600,100900,99700,94600,103500,99900,115100,111600,115600,119400,130300,132e3,130600,133600,139500,139200,137300,135700,136100,135700,134100,125900,122900,121200,132400,134500,146700,151900,156500,153400,150300,150900,158400,161700,161900,169600,174100,176700,154300,142400,136700,140800,
25953,Montebello,California,515,457e3,437500,407300,370300,367600,356400,364100,362500,362600,344300,333e3,328500,330400,319100,318e3,303500,311e3,308600,336300,327700,309600,298900,312e3,328100,335700,333e3,332e3,322300,307700,301400,314700,310700,321300,309e3,327600,319200,320300,304400,300500,296500,301900,300800,305700,317100,323700,320300,301200,299e3,286200,278600,286800,288900,289600,295200,320500,344800,339200,324e3,322700,336200,334300,336800,326300,341200,347900,353800,359300,364100,377700,385900,381200,381600,381e3,386900,394e3,393500,394400,387300,385600,402500,403700,400100,394100,391900,406900,389700,399400,403200,425800,431100,442800,438300,422700,419900,417e3,432300,433500,446900,476900,459e3,452900,429800,427700,423500,426200,433600,457600,453200,456300,453300,458200,470300,464900,486500,501900,493e3,477400,467900,525500,540500,543800,508900,475400,476400,478e3
41675,Westminster,Maryland,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234400,249600,270100,272600,252400,236100,244200,246300,251100,248300,246600,243400,245800,251900,255200,265e3,267700,262900,253600,248e3,248800,248700,244200,242500,243e3,249600,253600,249100,245100,247900,252e3,260800,256300,259e3,263300,269e3,271400,281700,277e3,274100,256100,245600,242700,242600,260600,276800,281400,274900,270600,290700,287200,270100,252e3,253200,260500,258100,
4281,Cupertino,California,517,923400,1003e3,1040100,1043100,1051900,1121500,1109400,1145700,1006900,971400,965500,988500,965300,887700,889200,945900,963600,975500,947500,1049400,1079400,1040800,1005400,954200,1000600,992e3,989800,1008700,964300,1020200,982400,1063700,1015100,994500,947400,920600,938700,904e3,942600,945100,979300,988900,991100,992900,94e4,896800,931e3,961200,995600,946700,984600,1055900,1052800,1097900,1089900,1170200,1127e3,1132e3,1113200,1200600,1166100,1164800,1146700,1228300,1250600,1289400,1294200,1322800,1347400,1249500,1177300,1090400,1226e3,1310100,1423800,1520800,1562e3,1564400,147e4,1555100,1514800,1583900,1403600,1440200,1397400,1539300,1592200,1660400,1665600,1759200,1775800,1782e3,1687500,1655400,1652700,1539700,1533900,1550800,1655e3,1649200,1635100,1620900,1632900,1641900,1693100,1669600,1675100,1666900,1749100,1771e3,1784200,1724800,1704100,1840100,1924600,2015500,1858400,1959400,2026500,2121900,2144800,2079400,2122200,2249200,2327900
